"TeamID","Nombre del Equipo","Rango","uId","Nombre del Jugador","Salud","Número de Bajas","Daño","Máxima Distancia de Baja","Asistencias","Noqueos","Número de Headshots","Daño Recibido","Curación","Tiempo de Supervivencia","Tiempo Fuera del Círculo Azul","Daño Total por Veneno","Bajas en Vehículo","Bajas con Granada","Distancia Conducida","Distancia Recorrida","Rescates","Granadas de Humo Usadas","Granadas Fragmentación Usadas","Granadas Incendiarias Usadas","Granadas Cegadoras Usadas","Suministros Obtenidos","Daño Total por Equipo"
9,ALABAMA (A),1,5122027850,R2DxLutava,10,8,1218,241,1,6,0,253,270,27m 58s,0m 5s,116,0,1,5979,2203,0,0,3,1,0,0,2901
9,ALABAMA (A),1,5864590810,R2DxDILJEETTT,29,7,912,118,2,4,1,193,122,28m 3s,0m 0s,0,0,1,5567,2811,1,5,4,0,0,0,2901
9,ALABAMA (A),1,51927115671,R2DxAllen,100,2,606,19,4,4,0,395,234,27m 53s,0m 0s,0,0,0,5874,2875,0,5,8,2,0,0,2901
9,ALABAMA (A),1,5292486223,R2DxMAANog,100,0,165,0,2,0,0,160,0,11m 8s,0m 0s,0,0,0,4413,1474,0,1,0,0,0,0,2901
7,SENECA (A),2,569819071,ZnGPunk,0,2,406,39,0,1,0,120,64,27m 22s,0m 39s,43,0,0,6563,2252,2,2,2,0,0,1,1619
7,SENECA (A),2,5777220863,ZnGCipherzxy21,0,1,416,2,2,1,0,291,213,27m 17s,0m 0s,0,1,0,6666,2569,2,3,0,0,1,0,1619
7,SENECA (A),2,5993606908,ZnGJesterX,0,4,543,164,0,5,0,469,349,27m 18s,0m 0s,0,0,1,7895,2164,1,5,3,1,0,1,1619
7,SENECA (A),2,5307780671,ZnGFury,0,1,254,119,1,2,0,172,0,18m 2s,0m 0s,0,0,0,6127,1862,0,0,1,0,0,0,1619
6,SENECA (B),3,5253994440,KPRBlinkX,0,0,153,0,1,1,0,286,176,26m 36s,0m 0s,0,0,0,1357,2818,1,4,3,1,0,0,490
6,SENECA (B),3,5511811942,KPRInsanE,0,1,117,35,0,0,0,236,39,25m 40s,0m 0s,0,0,0,6265,2107,1,8,1,0,0,0,490
6,SENECA (B),3,5439446168,KPRLaw13,0,1,201,18,0,0,0,203,101,24m 1s,0m 0s,0,0,0,2797,2681,0,0,2,2,0,0,490
6,SENECA (B),3,51288560221,KPRūDonG,0,0,19,0,0,0,0,197,10,7m 55s,0m 0s,0,0,0,2783,1042,0,0,0,0,0,0,490
16,ALGOMA,4,5122674005,oxyGURJAR,0,1,373,12,2,0,0,382,358,26m 45s,0m 8s,65,0,0,3590,2735,1,3,3,0,0,0,1296
16,ALGOMA,4,513304128,oxySPOWER,0,1,387,99,0,2,0,387,187,25m 37s,0m 0s,0,0,0,3469,2655,0,5,2,0,0,0,1296
16,ALGOMA,4,5302412833,oxyJONATHAN,0,2,451,21,1,2,0,345,161,25m 31s,0m 0s,0,0,0,1727,2963,1,1,1,1,0,0,1296
16,ALGOMA,4,5642896536,oxyGOBLIN,0,1,85,97,0,0,0,126,0,19m 3s,0m 8s,45,0,0,400,1895,0,0,0,0,0,0,1296
12,KENT STATE,5,5737152278,R2DxJason,0,3,412,343,1,2,2,276,244,26m 38s,0m 3s,78,0,0,5489,2077,0,2,2,0,0,0,889
12,KENT STATE,5,5484235848,R2DxRUTHLeSS,0,1,168,227,0,1,0,304,191,23m 9s,0m 4s,40,0,0,4156,2335,1,10,0,0,0,0,889
